"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"223",9,8,0,0,1,1,1,1,0.962524793430876,0.00954038504422914,0.0279348215248949
"224",5,5,7,7,2,2,2,3,0.280947515276685,0.285812622484835,0.43323986223848
"225",10,2,4,4,2,2,2,3,0.0773254207691387,0.0403850227277287,0.882289556503133
"226",4,0,10,10,2,2,2,2,0.0578969456887985,0.646804014837214,0.295299039473988
"227",0,0,10,10,2,2,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"228",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"229",0,0,10,10,2,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"230",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"231",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"232",5,3,5,4,2,1,1,3,0.134041585002754,0.325953365517168,0.540005049480079
"233",0,0,3,8,2,1,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"234",10,5,5,5,2,2,2,3,0.462027183622565,0.0697868238365981,0.468185992540837
"235",1,0,9,9,2,2,2,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"236",8,7,0,0,1,1,1,1,0.790358606609221,0.0507306537055148,0.158910739685265
"237",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"238",5,5,5,5,1,2,2,3,0.280947515276685,0.285812622484835,0.43323986223848
"239",10,8,5,10,2,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"240",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"241",8,7,1,7,2,1,1,1,0.790358606609221,0.0507306537055148,0.158910739685265
"242",8,6,0,3,2,1,1,1,0.597830764788079,0.0792414267312731,0.322927808480648
"243",10,8,0,0,1,1,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"244",5,3,7,8,2,2,2,3,0.134041585002754,0.325953365517168,0.540005049480079
"245",10,0,10,10,1,1,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"246",10,5,10,10,1,1,1,3,0.462027183622565,0.0697868238365981,0.468185992540837
"247",0,10,10,10,1,1,1,2,0.353637644137966,0.407216372177442,0.239145983684592
"248",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"249",5,2,0,0,2,2,2,3,0.0965605897723887,0.3420759431636,0.561363467064012
"250",10,7,0,0,1,1,1,1,0.848880198367097,0.0311876850968327,0.119932116536071
"251",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"252",0,0,0,3,1,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"253",10,5,2,0,1,1,1,3,0.462027183622565,0.0697868238365981,0.468185992540837
"254",10,10,10,10,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"255",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"256",10,0,10,10,2,1,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"257",10,10,0,10,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"258",5,0,5,7,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"259",3,0,8,10,2,2,2,2,0.0303336817392185,0.853667235666579,0.115999082594203
"260",10,0,10,10,1,2,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"261",8,8,1,1,2,2,1,1,0.908994400780259,0.025452049081644,0.065553550138097
"262",5,0,10,10,1,1,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"263",5,7,10,8,2,2,2,1,0.488619041168091,0.215413755085824,0.295967203746085
"264",7,0,10,10,2,2,2,3,0.0352633155272779,0.0742637801201011,0.890472904352621
"265",5,0,6,5,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"266",3,5,5,8,1,1,1,2,0.196935483001763,0.523407648485907,0.279656868512331
"267",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"268",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"269",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"270",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"271",8,0,0,0,1,1,1,3,0.0215368910905608,0.0316172816459339,0.946845827263505
"272",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"273",5,0,0,0,1,1,1,3,0.0707433876848691,0.398343040195579,0.530913572119552
"274",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"275",10,8,10,10,2,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"276",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"277",10,10,10,8,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"278",10,1,10,10,2,1,1,3,0.0576004754370169,0.0398228171539922,0.902576707408991
"279",2,1,7,8,2,2,2,2,0.00878278932129481,0.96649575342388,0.0247214572548252
"280",0,0,2,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"281",5,4,7,6,2,1,1,3,0.195220973867607,0.309805566138108,0.494973459994285
"282",0,0,10,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"283",10,8,5,5,2,2,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"284",5,0,10,10,2,2,1,3,0.0707433876848691,0.398343040195579,0.530913572119552
"285",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"286",9,0,0,2,2,2,1,3,0.0309806029645403,0.03396540426544,0.93505399277002
"287",10,7,2,2,1,1,1,1,0.848880198367097,0.0311876850968327,0.119932116536071
"288",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"289",8,10,0,0,1,1,1,1,0.946886856813528,0.0178553940368118,0.0352577491496606
"290",0,0,8,8,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"291",5,6,1,4,2,2,2,1,0.383913481208722,0.252642042659962,0.363444476131316
"292",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
